Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
A0A075B6I0,1,,IGLV8-61,9379416.09158115,5995454.39863565,3243248.32942767,9514328.5156869,2755006.3631056,10914351.9441445,5386193.51189314,12211918.6049877,3516570.72042045,1083427.80482409,5593880.64245393,13741377.725584,3210480.02812407,7431602.37276074,1749588.94355413,14968807.6126946,10108430.2756303,6778131.09748582,2633669.41454151,9841609.49676824,5,1.18840120463988,0.570602437903216,0.734928646267111,0.576357734137116,False
A0A075B6J9,3,,IGLV2-18,2024005.96027089,14668250.7350883,10712506.6648463,3643035.66445942,3888175.34965002,9855001.72383205,1075264.67435875,526282.048364422,3440758.67437786,2245882.26302261,2077554.20637556,10053886.0492887,4044330.45271441,2246955.50355828,6919481.78859453,5481938.53353548,8499062.94306043,4423637.27507535,12471984.7323205,6009773.82779317,9,1.19488487951065,0.184855617292877,0.53240815837221,1.3717689822207,False
A0A075B6K0,3,,IGLV3-16,8303158.95397679,6529484.32175966,2716172.58924541,20046207.9969927,4393680.27715966,7896349.93052253,816302.05739771,4594674.385923,6333622.09684664,1166988.99154357,6794486.65058941,16251433.0554591,1673447.55181319,2904056.59591002,255405.580886675,1817338.67689509,1634598.60259304,1968690.62016562,6911903.28829806,1644936.71375808,0,0.666537194808466,0.201465202785493,0.544755748559004,-1.31943700365513,False
A0A075B6K4,3,,IGLV3-10,4451170.52511179,6201906.73806192,3299627.02451218,6693526.77893763,8125014.28198462,4618009.12418653,9365482.20753484,14673281.7348158,13081985.6194412,5916505.47755655,5451291.22380873,1145025.44433108,7205614.31988135,7940098.93701431,2046222.54779878,3375802.36701031,6976638.79495798,6271491.45422695,7960165.23856032,3514689.85272392,2,0.678914168807744,0.0960163369714253,0.427035242132537,-1.74406142167842,False
A0A075B6S6,2,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,93033256.4194691,78677466.359979,63904979.897002,143099184.553104,86197665.6436581,89828076.7225656,35744007.3599893,73976078.0345493,53988587.2958404,53437145.495968,133050357.210692,82832807.7131817,52129866.199735,111231712.364008,38571042.0490054,118246779.571457,60025031.0986795,85686940.3403403,178772438.695967,117525822.99169,0,1.26712005508721,0.238981699019647,0.580032472190133,1.21257590087812,False
A0A0A0MRZ8,3,Ig kappa chain V-III region VG,IGKV3D-11,40126238.2253729,62094259.839951,24461647.5203572,46683690.4664141,28896580.4545154,48600779.043922,33310478.7001864,37771163.6042451,35694628.4556644,15140380.0645829,32826597.7179147,19654279.7238625,14448170.9829903,61220631.9022495,23706113.4308387,97656168.3929654,36225390.3236495,11355475.5296205,78661056.1661241,130913916.574331,0,1.35916092479574,0.784334672154021,0.811450985241191,0.277262930951839,False
A0A0A0MS15,2,,IGHV3-49,2418830.84892858,4618451.62165471,1880992.09741335,4178509.15964491,1237704.26364317,9037322.88796315,9378035.80101987,7174348.60102913,6018704.06284251,5034811.58320845,13116493.5741624,13472892.4371888,7674245.51069893,8324605.50920245,3062322.74479473,8990351.99272286,11186073.2203858,5857003.41609792,7631336.85671007,2885044.55909511,4,1.61247667511413,0.0293200970827833,0.27325797600272,2.34155809835712,False
A0A0B4J1V0,3,,IGHV3-15,6384592.61677049,9545355.78843799,1944743.94786563,11028332.8045572,1576618.84209831,529328.15406397,1610989.33740126,1392106.99604888,7403050.49384602,2195198.39045886,4342848.56134817,2351967.55021998,4635029.45496092,5671815.93173824,2119514.99965909,4984288.01896099,3636809.12393757,3677582.11097461,10388813.4106529,8630906.3388735,1,1.1565973040644,0.17317911064367,0.523299809327203,1.41083914689868,False
A0A0B4J1V6,3,,IGHV3-73,2452240.72601952,2874064.7737089,2351296.78956395,1681758.60145158,3586653.2926971,2732127.52585002,2108311.69064525,4408682.2965175,3958345.89902075,1313637.8739028,1439675.21697042,6774464.87528095,5329748.67990181,1155430.78302658,2326178.39913679,4756468.9631696,156332.310054507,1152045.43548094,6704938.31601555,2682331.43167128,9,1.18241792507282,0.632109493662707,0.7585186811081,-0.485963581199361,False
A0A0B4J1X5,4,Ig heavy chain V-III region BUT,IGHV3-74;IGHV3-66,42177057.010753,45676967.1160574,56934465.0718143,95043843.1674522,72553373.6114477,40866515.7158166,34239433.0624834,51051651.39162,53159104.4443446,31603867.8263041,134727605.976258,44691440.9025124,36128008.8807161,76610832.3353783,26126019.1496767,126052321.350313,57648477.4833133,61031110.037765,132511668.656177,114180459.00277,0,1.54729262225279,0.0737294422628559,0.399711771208085,1.88394797439153,False
A0A0B4J1Y9,4,,IGHV3-72,37577812.0550831,28355730.2615008,14442762.9636163,25211786.990718,32102278.7635771,21721196.4090299,11151599.4652525,15857414.1969126,15059143.6308508,10901633.8332263,24024532.7345177,23782057.1610513,24944651.4590714,22639257.7374233,7862958.88678341,38139856.852638,19560795.334934,21008437.6157976,54807265.608157,30923376.4912281,0,1.26043637579267,0.245380781663622,0.58311339070537,1.19565420182993,False
A0A0C4DH25,3,,IGKV3D-20,13284426.2782071,10294011.1443939,6277525.9605899,3604341.57752913,7030712.00114565,7834539.4913029,5182984.74514068,7236775.30878434,8591192.32728416,3439012.99022336,19256553.5887432,4416532.5102032,3931220.66416074,13688586.8552147,3181583.3312966,14684694.9593693,7124455.40388956,11759418.5294385,21643854.2471514,12838498.0701754,1,1.54619843785997,0.193892242386496,0.539227987617833,1.34285787158442,False
A0A0C4DH34,1,,IGHV4-28,3920878.21609916,10293193.8350533,6238639.0657944,8097063.98826013,2912717.66077684,7883035.04723825,2647768.7596077,1860865.45221906,6797830.25795684,3831252.05398233,5882938.40843433,5815405.44705916,5370823.93124892,4269693.68628562,4861928.85553631,4278388.97444916,2347205.69118848,3160960.27436527,8538889.66901791,3390499.85226223,7,0.879476532151322,0.811957995622515,0.813589620325639,-0.240965595225862,False
A0A0C4DH38,3,,IGHV5-51,6234827.28733166,8767277.29622179,4109650.53614125,15616715.9031894,9476884.23043028,15626334.5385222,3675424.52289873,17501804.0917027,10601093.0828317,9270423.43645187,8061034.44645525,12139073.9219347,5320895.54409259,10611769.8511247,3636219.1428704,24279541.9591672,3310033.00182473,11129267.4497224,15619136.8629047,10910931.2003693,1,1.04101358660667,0.978684371649957,0.843797505224354,-0.0270438778696699,False
A0AVT1,11,Ubiquitin-like modifier-activating enzyme 6,UBA6,5064000.59089617,4701010.53024591,5277496.93388734,4079715.70494173,4497036.76727842,4838590.15513558,5280690.83788941,1514298.47491501,5318932.85158566,6248216.0463855,3872567.24696995,1379397.18485875,1935259.3677087,5593691.53476483,1994904.35603131,4503034.43145341,10537430.5128451,7166629.14182364,8521142.57053717,5064111.11449677,1,1.08005509306894,0.797055343929053,0.812593916944395,-0.260503431021555,False
A0FGR8,8,Extended synaptotagmin-2,ESYT2,5034892.97444878,429659.520334091,8846194.26839668,5938091.926727,1566262.60414418,5419157.30634665,6764031.89282861,6150189.94436277,6493725.72010601,8605535.14308142,10593509.4095965,3322103.44658157,4721710.39400741,5216217.68715746,4938544.74747084,9418032.21022842,6954470.79106843,8253788.57543908,6004519.49597576,5944326.82594645,0,1.18316553843539,0.225391208852258,0.567386468521056,1.24968876439981,False
A1L0T0,9,Acetolactate synthase-like protein,ILVBL,2490090.15890351,5971997.62056148,2529917.18302205,5881453.22840702,3243376.07338783,5525004.36749959,4016981.13575042,2588948.0588992,8472814.71386219,8918306.06543924,1747690.11057612,2408095.58548975,5358549.94618567,9780073.72678937,3292459.53717167,6789687.91946634,9998039.00120048,10238041.6311766,4006365.2270302,5790267.50415512,0,1.1968291768398,0.584638938869718,0.743198187245657,0.555324205498571,False
A6NHL2,4,Tubulin alpha chain-like 3,TUBAL3,4415903.20559878,3337564.42312402,6662068.37226412,5771202.32709713,5966263.68657604,4813667.41343442,6274506.12083962,4153222.24758798,6044562.43513611,5784511.83056097,4976665.50929769,4659573.66533519,4829431.09163706,4112232.81329243,3742758.60014541,3496625.80654942,5892470.83145258,6734537.69296569,4089692.07989691,5365592.13111727,3,0.899970978325018,0.496376750729143,0.709261894965122,-0.692435837771493,False
A8K0Z3,2,WAS protein family homolog 1;Putative WAS protein family homolog 4;Putative WAS protein family homolog 3;WAS protein family homolog 2,WASH1;WASH4P;WASH3P;WASH2P,425140.290019903,696988.387420791,280302.603020664,1198167.88335309,2793.28919821267,415967.742705755,569183.60855596,923301.741729386,675247.735455036,913278.096646524,826294.326690306,179811.813629152,1464537.35216516,713928.564670757,1008453.06363116,483775.569524641,575057.76567587,324092.391053586,1344131.43493398,500125.278716528,11,1.21635341535481,0.306385136874855,0.613768740516,1.04881084735993,False
Q99613,6,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,3674323.26789361,1283666.05028861,4587463.26386106,3401132.21629124,6220982.22459138,4548107.61888879,6953057.51708529,857572.944087108,9421514.73632198,6911637.18404339,1249852.88678399,1457488.07875479,2425190.31738226,1431006.56687117,5232983.52452862,4943484.60598342,2504804.9415126,5930733.64364364,4190343.48128052,1101912.45198523,5,0.636609823714879,0.183610238965879,0.53240815837221,-1.37584070161854,False
B9A064,7,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions,IGLL5;IGLC1,933714361.956213,1271978526.71856,1007138608.06427,2237769029.23402,1453414611.64599,1264951965.03417,1146512156.25277,1608668422.40191,1459067052.24149,1164788257.97474,1469555407.78682,815952859.716916,500727733.60556,1159252915.95092,824199071.442935,2279626233.55569,1289423934.7419,1584221924.97042,2029169436.29047,1743040840.25854,0,1.01086266122676,0.704826173545833,0.785121265036417,-0.384106190523897,False
CON__P00761,8,,,1937890895.84356,1396618201.15445,3177123468.74112,2047856447.27178,4037079797.30772,1925806367.01701,1555086190.95589,1396486311.17339,1657286587.90765,1399799927.56726,2973121262.32774,1985579965.77226,4028515595.74353,750078297.869121,2322039758.76311,930544501.51607,1643124757.93517,1293042802.5753,2028155316.37728,1144791522.16066,0,0.930249962067059,0.459538467772225,0.69086707470759,-0.753697590620537,False
CON__P01966,6,,,5410514082.96068,6834258974.85569,8113204242.73078,2259927298.61493,8077453825.37619,6744898379.30863,7526272124.03479,7132186959.34025,3872123339.45737,6302500807.74995,7431872212.93375,8266780481.43163,2884226114.68671,8102921799.591,1978713827.92439,8449328961.39074,7554353131.14046,8563591596.1416,5034767328.99259,6377962995.38319,0,1.0380769429402,0.987377497936179,0.843797505224354,0.0160132777846133,False
CON__P02768-1,72,Serum albumin,ALB,140054738723.602,69935525653.3147,135642999654.723,114098873943.845,159222526032.739,123386104882.584,90921408209.8163,117649012785.997,101611649308.238,91463820898.4514,131141924295.202,117718748478.204,111833574216.447,105085722621.677,133224916994.091,94671474295.5326,90763167342.1369,105620464373.464,132748296635.92,81443682825.4848,0,0.965266476086434,0.818407497548826,0.817186231250049,-0.23254027567171,False
CON__P05787,35,"Keratin, type II cytoskeletal 8",KRT8,801365290.989221,224939876.709813,290086545.011454,125577938.374346,381883700.940757,455301531.470665,407777788.106861,855709588.436093,1106284973.09316,1330976986.86934,539574496.496762,289187867.503184,301740644.960653,597391731.807771,844841994.779259,601132503.59814,828733324.355342,454414614.637365,723532303.061132,575568546.768236,0,0.962576960466133,0.520091501663594,0.721310207615658,0.654375807837847,False
CON__P07477,1,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,PRSS3P2;PRSS2;PRSS1,2827062.15014087,3984546.49711387,4352157.57511663,4222933.78752566,4831401.18949525,4130157.63180492,2878763.2148753,5438422.43324451,2229864.83155152,3730447.09450486,3798867.60185954,3182386.08695928,2990816.6558932,3624452.20948875,3310384.76471862,3127657.16660602,3247820.08681973,2797095.4820988,2696967.39912281,3032532.63019391,5,0.823517337755891,0.280082404445111,0.59687397298761,-1.10922792810719,False
CON__P08730-1,5,,,2046229.20270375,2284134.41407207,1608327.93310148,1239184.16233781,4807723.90590231,4051103.93700899,524842.626227035,1475915.06588257,7879499.39893091,890358.056797664,3786455.03005147,3074193.35345027,2589561.46475026,1922303.53296524,2356010.95613031,2651560.28115136,1671125.45638192,4294466.85217035,756237.670261349,1607367.74515235,4,0.921736433854249,0.705172865879675,0.785121265036417,0.383631197050817,False
CON__P13647,10,"Keratin, type II cytoskeletal 5",KRT5,4921481.97094631,2546981.0979972,5622849.78905926,3691567.67885956,417193.736907621,3048209.74857517,4117269.49562038,2742023.77937649,3553343.34076004,1489563.18161707,622056.036161381,3654814.20986743,2595494.46724268,2396324.45824131,2428022.38872604,2130500.11115055,2335807.56773109,954070.845254345,3385263.72355003,1298212.80553766,9,0.678078959424288,0.289263056214134,0.603321843609166,-1.08769212106207,False
CON__Q1RMN8,2,,,2968266.7937921,3672416.05995277,2314901.62755734,3308391.75224821,1668946.38120626,1955517.82277924,522487.063379782,2761973.9407792,1755346.90881322,1538223.70471446,3718292.91559246,2814110.91532071,3141102.81354903,2505920.2046519,2418739.96891553,3449097.38661815,1671934.18809124,2454527.74815725,3299523.64754024,3557701.6754386,8,1.29219004178836,0.102253977887719,0.437355574810954,1.70997746953126,False
CON__Q3KNV1,25,"Keratin, type II cytoskeletal 7",KRT7,98644625.1337659,26782409.7809166,14486670.48807,1936632.74389151,19064742.8596136,8018511.7642592,37446813.8830212,106305727.924286,10286259.0045818,16268089.2963677,110916669.599004,8556482.2923903,45273732.4494984,21791508.6548057,97057879.2523899,44730363.6672731,101524072.87395,12017091.6430066,78639083.5680051,7948558.28716528,1,1.5577605532307,0.215869795405103,0.55792310220854,1.27672428625014,False
CON__Q3SX09,3,,,4821356.60150697,11031224.1695819,3995272.21621215,3466093.77676893,6221360.68111216,6260222.97154862,14815992.655099,6551455.42626114,5250844.73492948,7553184.36380504,4314454.80333721,3708778.27269306,3742463.77578915,9695222.37586912,2099564.55557962,8654101.6450374,11392738.5171669,11151378.013923,6448788.52794357,5397120.85918744,2,0.951943117680918,0.685847516038033,0.77472505509616,-0.41024998995974,False
CON__Q3SX28,21,Tropomyosin beta chain,TPM2,78876809.4327552,129355549.330943,84191506.230876,85253130.7746581,43210013.1100046,183561087.631024,259460271.083696,65463032.9082054,110376630.046716,362654216.5846,59145904.6654491,59107554.8287889,58533641.6966386,387235575.096115,155645907.256443,247064665.579139,102412588.009604,158694322.517972,49895544.8286309,240507775.34626,0,1.08260200162139,0.881039232125083,0.825812662811676,0.1515157794836,False
CON__Q3ZBD7,8,,,10469717.98629,7315163.7908431,8690252.24204525,2541635.01773631,11072527.255172,14021231.6488834,18701012.5059909,5300590.67794099,10989808.2247776,4980326.75515593,285303.413647962,9387636.42769604,1869604.24244842,2058949.02149571,3002041.93925378,13031401.1150192,3204414.80140967,3589905.21985622,5014907.48069271,1587786.74561404,8,0.457386414982643,0.00747311991922796,0.175323277667773,-2.9653080284077,False
Q13765,5,"Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACA,11087465.5181327,16428735.0546615,21194365.1846774,24268168.982448,24492605.7062284,19162562.5623629,11596170.4814946,24470067.275108,11706790.3656455,13386462.0991222,9981879.93375394,7064829.03699201,14654132.9810163,23541281.1075665,14862037.4524333,9960566.47907823,24543660.014886,11665873.8347438,5329284.65378007,20579298.6334257,0,0.799708254309752,0.169052239961199,0.521118528909864,-1.42515308230253,False
O00115,2,Deoxyribonuclease-2-alpha,DNASE2,1568740.03116299,545556.487107363,1874833.40282413,749922.307145129,375602.0896371,414381.959583845,3802528.10518652,1144203.41243223,2365651.6807409,3487829.26211375,815545.859052039,171051.307149222,564032.617661375,884059.345398773,1206685.84214027,868647.14331198,669787.838977191,750794.897768586,1513667.33153778,689241.217310486,12,0.498094770362154,0.101256277044442,0.437355574810954,-1.71530737298015,False
O00151,14,PDZ and LIM domain protein 1,PDLIM1,26263282.9729625,25626734.3733602,38996444.4053372,72390525.6218373,73105157.2638745,37525303.3468409,52151663.7840596,82429873.6033263,72681335.9684664,96772257.0220509,58163759.9211356,19167385.9239319,19638160.6191352,87259294.6625767,63433621.7731956,80110700.8126137,92737645.4213685,49907795.4322504,84645208.7538434,98183778.0240074,0,1.13029801887128,0.682019483683751,0.774270699342087,0.415558175320076,False
O00159,44,Unconventional myosin-Ic,MYO1C,295327567.374053,364307465.462655,202755885.163944,314896030.18246,215751525.88733,242360589.146187,317967807.43765,222314644.261693,314112058.763813,253751249.37558,174706948.198572,226256843.862163,198188512.063604,263299092.891616,241585808.681125,181461844.936325,298011566.458583,286535903.913004,209897469.03147,214727232.2253,0,0.836389186346987,0.0837016147854575,0.418710352294526,-1.817364347923,False
O00161,5,Synaptosomal-associated protein 23,SNAP23,2106301.84565389,1240593.84804093,1035121.46284847,2998608.3373912,1555309.28686466,2874811.85906956,26872.2641846233,1960731.0108426,810945.420968467,2724511.7894151,1440416.34051307,2437173.96520783,611568.141377539,1364577.89664622,2925281.48903258,2611460.88971383,681518.033747899,704527.616061516,3185084.01590982,1379298.88273315,8,1.00040961259189,0.599848612870645,0.749006456499085,0.532815328508824,False
O00170,3,AH receptor-interacting protein,AIP,2019054.04212009,1650397.42117985,1828334.31897604,2104819.41294856,1338384.19126881,4177244.98357096,4056710.52320937,4487681.70660663,4258655.63179409,7104368.09355598,4797846.91148869,2559303.16002373,2587034.32367019,3311113.75235174,4286008.64144727,7121933.48772994,5209121.91803121,4140713.39034489,6561271.32831434,5117079.37765466,2,1.38351329469961,0.0165065349687847,0.216813824767178,2.60955590761225,False
O00203,3,AP-3 complex subunit beta-1,AP3B1,2602655.7129656,1196050.48898023,3757921.57690571,1529244.85463956,1732003.03967252,2490775.90321182,2716693.85559599,2432409.01042911,2251189.59311832,3327709.22275744,1043152.53475012,1603696.29723774,1630900.28926073,1735248.34764826,996418.453898558,1966346.69613907,2391631.44797119,2422297.34880335,1876024.41297899,2858095.2228682,7,0.770648511359546,0.141279653551374,0.491347395312833,-1.52964176051636,False
O00217,3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,3525282.60940368,1735065.99908169,1481402.37397796,4233742.69941879,1499000.90387254,2139733.57638448,3444399.22427002,2191080.58108994,2241450.72563112,3721244.14088666,2708423.77398309,1133502.29106605,2413874.61686363,85652.2878793268,4237726.17369984,1035193.01480928,1700653.8692437,2090464.37241659,3130828.57528538,1902543.01615882,10,0.779740114663635,0.188308307241348,0.53240815837221,-1.36059332875294,False
O00231,13,26S proteasome non-ATPase regulatory subunit 11,PSMD11,7662308.27816838,6401984.0646318,16322348.7702108,10292570.171992,5909438.20595298,12692893.0701375,18800543.3305228,14584836.7430855,23738489.5000449,22896965.5612645,13349720.9795783,10381793.0490188,4407334.04364639,11644510.1672802,9732820.32484609,17682234.5757024,22229033.2120048,25721389.4157794,25156089.5464822,29177016.8374885,0,1.21664787748041,0.313352011756068,0.613979024606205,1.03343405977485,False
O00233,6,26S proteasome non-ATPase regulatory subunit 9,PSMD9,4781258.14233463,14459836.8532447,10140606.8398348,7806412.34745395,12480605.015973,8554777.01268194,5716221.13756989,8347833.31654875,9498754.03018597,12770923.5888104,13175634.6599701,8790191.31635695,5269089.15195111,12172728.9374233,10049836.6475111,11500517.5096018,13468632.9704682,17901903.3456183,12941015.1921686,16917319.8384118,0,1.29220020284089,0.136205473072495,0.486433579823015,1.5505265914742,False
O00244,4,Copper transport protein ATOX1,ATOX1,13025960.3064337,19207586.8125765,27407890.6291679,47122532.2892751,7875476.30185728,16844007.889489,15784759.3472087,17476902.1037398,16183311.1795885,10947649.1714836,17915995.8334717,8378495.55886014,8734976.98449384,6170833.60633947,7721725.44070785,13172701.822923,14099568.4657863,9956557.14077714,18215283.8406583,16504459.4413666,2,0.629940952701,0.0458213530723269,0.32800665024696,-2.12509643960987,False
O00264,7,Membrane-associated progesterone receptor component 1,PGRMC1,31798561.237625,20589656.907469,23700687.9328507,27636225.9283463,34443241.49794,25659290.7018005,26604589.3973551,21122896.6172011,21504426.8807834,26152717.4652109,19239486.3025071,22041411.8262996,28091700.2460856,18823240.2257669,23905603.8664419,25957771.2225591,26776615.2244898,19627377.7595778,20159013.674263,18501721.3942752,0,0.860776847469145,0.181338276020332,0.531816779575184,-1.38332575239762,False
O00273,4,DNA fragmentation factor subunit alpha,DFFA,1579112.86438734,22733012.4215446,43088750.6880466,10728385.4995229,46611306.3704862,8313636.71546885,18389149.2557912,5273032.9032666,4187796.9752493,8434144.68029687,36753625.1236925,13312487.9797673,4541272.52089023,999946.415664622,13138035.3256195,7190516.22817282,26465286.3503234,891480.94044044,8436717.08776451,1744644.80368811,6,0.670102355831484,0.259341820098799,0.587927183588789,-1.1598560688899,False
O00299,12,Chloride intracellular channel protein 1,CLIC1,155490229.93512,162023403.673255,180161479.341883,149141366.301362,188372350.476988,291676300.094387,166880015.798349,176297487.884774,231415640.87683,271230409.023764,164264872.165034,167180396.137258,173230466.756808,290375082.527607,226060248.692881,161317048.825551,274964022.333733,163073915.042315,226782565.586001,209291015.743306,0,1.04250592154205,0.668206992241893,0.768339943129565,0.434814407659996,False
O00303,5,Eukaryotic translation initiation factor 3 subunit F,EIF3F,5987835.27224908,10494082.2964539,9412722.56025398,2931701.17277275,7986426.26689393,6041771.47307837,10256651.4680039,8764641.07369291,9122632.25137005,7299766.55890958,7724187.35393735,7990568.50709052,11156182.2984407,10582721.6408998,7438352.74203325,9823043.86496867,7697323.29387755,8765137.89289289,6181905.97079038,9907985.76638966,7,1.11455148976606,0.378829599660067,0.651919973400683,0.899357881811026,False
O00330,6,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX,5189421.11968284,3073900.42985832,4115744.46302272,2882088.2671833,3724814.05967347,5359071.19268464,5040240.95429129,858070.983846366,2593645.11450005,3963335.85789615,3923458.79138303,2187099.8996324,2790259.13121934,2141999.73345603,2439923.24599722,1688510.61181771,2994834.50117647,3111806.78933479,5272831.97861277,3219967.1961049,7,0.808978884229874,0.474307235247929,0.697554373328703,-0.728802244385377,False
O00399,1,Dynactin subunit 6,DCTN6,1526048.8358481,2013764.83902413,1576544.65563297,1952197.57701761,1672040.12420182,2454776.3919267,3173955.05196592,3328708.83924469,1990423.02057317,3770190.04788411,3736874.09918971,5369288.15165948,5387536.21392175,6679768.46486121,5126208.51251642,4719519.20586214,2306818.63956783,6609613.0052325,2251768.75723458,5244720.94413666,9,2.02194573179093,0.000722613008937892,0.073258090536328,3.96659160988847,False
O00410,20,Importin-5,IPO5,5172459.67624784,5892882.07639496,20280276.1524571,10308567.3615938,7904300.8210139,5706987.03404325,49621092.5703382,22129280.4065974,33466442.7391968,32510836.8122458,20269729.7625768,8801011.17857763,8405776.66053706,24976874.2339468,12863230.0226619,20441754.2829998,25799248.5752701,63258324.1778142,23795478.6629589,22401990.9972299,0,1.19700335323534,0.218742821648286,0.558274600234128,1.26847130031035,False
O00423,4,Echinoderm microtubule-associated protein-like 1,EML1,3004244.19714633,1039699.21213049,3637293.07555972,756504.934488043,3457544.22075083,2819802.8484341,1309576.8237774,630733.007530093,3450917.32063606,2767722.56283451,1821855.22712934,2813415.58276629,2525849.53749186,2838774.56556237,3507562.26773505,3092067.52306448,2031109.7005042,2779526.5002002,2733475.71599747,3786036.04293629,4,1.22102063549817,0.164051336619494,0.521118528909864,1.44288085306141,False
O00429,9,Dynamin-1-like protein,DNM1L,756169.97947631,2131848.72106271,2082247.93903724,2427465.43295839,4026662.13065349,1912409.68383851,4212808.03301677,4055932.75668474,2898236.59073758,7657219.04160422,1693074.79462062,4020234.88811489,6272040.78147801,1796861.13038855,1700005.45122668,6202345.4582171,5756142.09498199,6778078.4963145,4364328.47388619,1781406.32409972,5,1.25507656806137,0.37562869521813,0.651005541947793,0.905530007681614,False
O00468,5,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,636396.044526548,686196.576150079,258171.113759119,1007278.49708976,744465.06944423,648654.838373728,109409.258866602,1301885.83051858,716402.846163867,1600066.68233069,438651.506194323,204534.888846579,706023.89724224,687876.906658487,847829.703401104,608466.046021605,1007707.27958807,116369.6002002,902651.232727437,968429.773776547,12,0.841691851408094,0.685115775465922,0.77472505509616,-0.41126373290409,False
O00479,2,High mobility group nucleosome-binding domain-containing protein 4,HMGN4,75650.8159252462,446038.399518978,395190.646025633,215281.098175404,168751.088508229,939997.868529747,75919.6246822579,247585.868597813,861218.126583416,1014071.35295797,1099744.38068888,1069371.90033291,143607.319016198,1236154.23038855,1848611.36992235,1070344.73113259,186139.433469388,899239.03127609,1147054.13180503,174914.745706371,6,1.99904757064348,0.0685945116467207,0.3844369060632,1.92137528053833,False
O00487,7,26S proteasome non-ATPase regulatory subunit 14,PSMD14,6226493.57141934,3172386.20539619,10900316.3910579,9474335.54168233,5835523.9032585,7185131.95821417,17033871.195083,11852487.5810898,15248883.6353427,16179393.0646542,7315194.0379379,6060475.32635753,5449527.02506828,14417085.390593,5559856.26357393,23389423.0612492,15759027.542377,16234256.5611066,9582588.07967083,18631155.1200369,0,1.1870816171759,0.412094447110479,0.668891502267805,0.83714505992172,False
O00499,9,Myc box-dependent-interacting protein 1,BIN1,15534529.5745341,7604164.37366626,13038347.1992409,21061164.8237573,5952674.98468792,29982042.2343498,24925836.1569184,15751795.4203804,6854819.41892013,10306768.8806822,11393809.9769218,3648728.0373683,6678728.44641553,9325239.90879345,12704215.9073261,12009804.5530625,23796050.814886,18219104.9012649,16558042.8825285,16433436.8328717,0,0.865938060380361,0.573969618951666,0.736406810326589,-0.571288367253857,False
O00534,6,von Willebrand factor A domain-containing protein 5A,VWA5A,7868498.79682987,388344.53316862,7306617.05170728,154267.616970342,4306086.87438195,4392122.47613708,7083277.01251442,1764863.99517596,9022692.63580577,6845615.17697852,89781.9840268963,1033012.8206915,6680780.55009717,3122529.71386503,10351818.9083625,3630294.76498888,6285661.21623049,1982127.03994904,3366202.03183216,3137606.26500462,7,0.80761018115467,0.767459002171981,0.807231985594737,-0.299623777445765,False
O00560,3,Syntenin-1,SDCBP,1760855.64473585,1954941.83693647,2645059.84839746,2375366.47763352,2848219.43861328,3071076.57733289,2006850.24337746,1586514.24000735,2476274.97012847,2976792.25187326,488666.510186126,1638952.54965216,3763288.94934522,2054396.44683027,3062773.57433145,2911516.10043121,4470308.12038415,2170086.76176009,1872825.94967444,4013175.63758079,12,1.11577270621697,0.965785860551632,0.839800241506769,-0.0434174166904136,False
O00571,10,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,3240245.36950397,1340036.20256301,8212380.03737748,1162390.38498684,4434603.75739842,2866757.55977262,3156039.50355019,1486820.41923183,10125063.9565178,8240079.99286377,5090482.62154249,9040291.01834519,8358064.32347118,1888898.09120654,6389535.77807908,7603791.57024459,1655151.12441777,8648632.22768223,3805738.5042051,9219000.0877193,7,1.3938867666723,0.178757900256001,0.528663623258471,1.39191807896506,False
O00584,5,Ribonuclease T2,RNASET2,8576187.72586255,3360278.39410144,1602096.68402796,2368958.6001241,6878693.93841558,1424690.83188441,2475995.14493654,3367950.93751723,3071689.17891474,9928642.8402198,593332.689610282,1381407.42192496,871184.210165037,1237224.42760736,2151027.30563376,138224.837783699,1083988.4654982,416188.850759851,3405414.66847531,1835171.10249307,9,0.304566434924303,0.00163888034914379,0.104568605366734,-3.62016456782011,False
